age9,sd_consumption2_14_1,sd_consumption2_14_0,sd_consumption2_10_1,sd_consumption2_10_0,DC_product_14_1,DC_product_14_0,DC_product_10_1,DC_product_10_0,corr_risky_super_142_1,corr_risky_super_141_1,corr_risky_super_142_0,corr_risky_super_141_0,corr_risky_super_102_1,corr_risky_super_101_1,corr_risky_super_102_0,corr_risky_super_101_0,corr_rshare_super_142_1,corr_rshare_super_141_1,corr_rshare_super_142_0,corr_rshare_super_141_0,corr_rshare_super_102_1,corr_rshare_super_101_1,corr_rshare_super_102_0,corr_rshare_super_101_0,corr_volcont_super_142_1,corr_volcont_super_141_1,corr_volcont_super_142_0,corr_volcont_super_141_0,corr_volcont_super_102_1,corr_volcont_super_101_1,corr_volcont_super_102_0,corr_volcont_super_101_0,corr_vcont_super_142_1,corr_vcont_super_141_1,corr_vcont_super_142_0,corr_vcont_super_141_0,corr_vcont_super_102_1,corr_vcont_super_101_1,corr_vcont_super_102_0,corr_vcont_super_101_0,corr_cons_realw_14_1,corr_cons_realw_14_0,corr_cons_realw_10_1,corr_cons_realw_10_0,autocorr_wealth_real_1,autocorr_wealth_real_0,autocorr_wealth_fin_1,autocorr_wealth_fin_0,autocorr_consumption_1,autocorr_consumption_0,sd_risky_share_142_1,sd_risky_share_141_1,sd_risky_share_142_0,sd_risky_share_141_0,sd_risky_share_102_1,sd_risky_share_101_1,sd_risky_share_102_0,sd_risky_share_101_0,sd_vol_cont_12_mths_142_1,sd_vol_cont_12_mths_141_1,sd_vol_cont_12_mths_142_0,sd_vol_cont_12_mths_141_0,sd_vol_cont_12_mths_102_1,sd_vol_cont_12_mths_101_1,sd_vol_cont_12_mths_102_0,sd_vol_cont_12_mths_101_0,sd_super_balance_142_1,sd_super_balance_141_1,sd_super_balance_142_0,sd_super_balance_141_0,sd_super_balance_102_1,sd_super_balance_101_1,sd_super_balance_102_0,sd_super_balance_101_0,sd_wealth_real_14_1,sd_wealth_real_14_0,sd_wealth_real_10_1,sd_wealth_real_10_0,sd_fin_assets_14_1,sd_fin_assets_14_0,sd_fin_assets_10_1,sd_fin_assets_10_0,avc_vol_cont_12_mths_14_1,avc_vol_cont_12_mths_14_0,avc_vol_cont_12_mths_10_1,avc_vol_cont_12_mths_10_0,av_risky_share_14_1,av_risky_share_14_0,av_risky_share_10_1,av_risky_share_10_0,av_vol_cont_14_1,av_vol_cont_14_0,av_vol_cont_10_1,av_vol_cont_10_0,av_vol_cont_12_mths_14_1,av_vol_cont_12_mths_14_0,av_vol_cont_12_mths_10_1,av_vol_cont_12_mths_10_0,av_wealth_real_14_1,av_wealth_real_14_0,av_wealth_real_10_1,av_wealth_real_10_0,av_fin_assets_14_1,av_fin_assets_14_0,av_fin_assets_10_1,av_fin_assets_10_0,av_super_balance_14_1,av_super_balance_14_0,av_super_balance_10_1,av_super_balance_10_0,av_consumption2_14_1,av_consumption2_14_0,av_consumption2_10_1,av_consumption2_10_0,corr_volcont_ndinv_142_1,corr_volcont_ndinv_141_1,corr_volcont_ndinv_142_0,corr_volcont_ndinv_141_0,corr_volcont_ndinv_102_1,corr_volcont_ndinv_101_1,corr_volcont_ndinv_102_0,corr_volcont_ndinv_101_0,corr_DC_volcont_14_1,corr_DC_volcont_14_0,corr_DC_volcont_10_1,corr_DC_volcont_10_0,corr_DC_ndinv_14_0,corr_DC_ndinv_10_0,risky_risky_share_14_1,risky_risky_share_14_0,risky_risky_share_10_1,risky_risky_share_10_0,non_super_inv_balance_100_14_1,non_super_inv_balance_100_14_0,non_super_inv_balance_100_10_1,non_super_inv_balance_100_10_0
1,NA,NA,NA,4598.8125,NA,NA,NA,NA,NA,NA,NA,-0.01,NA,NA,NA,0.052982688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617378712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8385.664171,41136.35885,NA,NA,10944.19571,17572.68378,NA,NA,NA,2738.612793,NA,NA,NA,2894.165994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69375,NA,NA,NA,32779.6,NA,87332.595,NA,34998.34625,NA,NA,NA,25241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4929.867188,4172.855957,7378.629395,16291.87402,0.131578952,0.135416672,0.131578952,0.125,-0.036907949,-0.01,0.075255699,0.011734173,0.443909466,0.018704224,0.14545396,0.086946718,-0.037372898,0.199342638,0.224536598,0.113210395,0.021411324,0.223957241,0.187717855,0.150221825,NA,NA,NA,0.029872114,NA,-0.243123189,NA,-0.073451467,NA,NA,0.645669043,0.025096474,NA,-0.243123189,0.55825007,0.060049158,-0.633461714,0.92408973,0.560929239,-0.002980618,0.609220445,0.997017324,0.567882657,0.51779449,-0.541645646,0.80379349,0.454652697,0.33942464,0.272788733,0.26155901,0.432452619,0.316451043,0.269203782,0.269545913,NA,NA,NA,245.8870087,13.18832874,NA,721.6878662,227.7964172,59242.10978,60334.04863,88465.85256,41601.99128,37701.35636,37480.09281,40925.86255,25591.0792,75542.48438,34786.25391,57410.49219,125188.5313,62700.45275,234868.7347,25395.71956,86401.9513,NA,736.9285889,29.48999977,786.888916,0.583345115,0.653729439,0.615608633,0.646121204,NA,0.083333336,0.052631579,0.104166664,NA,54.29999924,0.797026992,74.54737091,208000,518900,55730.76953,201743.6406,220919.4286,324881.875,78373.52778,136968.9674,138866.0958,119869.151,56025.93079,50893.3826,32504.67188,28970.54102,30207.43359,32570.19141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168852299,0.102925308,NA,NA,NA,NA,0.526315808,0.479166657,0.473684222,0.447916657
3,7332.189941,4818.535645,4947.132324,9402.020508,0.218181819,0.169565216,0.200000003,0.165217385,-0.061768696,-0.333963841,-0.357450992,-0.133651853,-0.307172418,-0.032430999,0.098482713,-0.136051461,-0.060432486,-0.256244272,-0.164596662,0.016548,0.121174276,-0.086374633,0.158771858,0.018495115,NA,-0.015865669,0.168316096,0.10695716,-0.01,-0.201398566,0.041594736,-0.02470563,-0.634622693,-0.089416131,0.276919603,0.187338695,-0.00784928,-0.008733385,0.285220385,0.126333088,1,-0.417489737,0.223172083,-0.224499941,NA,0.180571869,NA,0.843914568,NA,0.431719124,0.411938012,0.319256455,0.352619916,0.280676633,0.419239044,0.323508501,0.343192965,0.278178722,536.5605469,205.8730774,680.6365356,206.9101257,158.9809113,86.68313599,204.7683411,327.203125,88141.56788,73923.37021,97580.13314,72480.60021,41831.21998,49296.39062,42412.0813,43644.90047,NA,44767.1875,13358.67188,123368.7422,NA,74651.70317,20476.82477,63791.79369,1564.784912,1561.525024,342.1950073,738.0205688,0.54370755,0.617972374,0.533654392,0.625923038,0.054545455,0.052173913,0.090909094,0.086956523,57.95499802,55.27522278,25.34777832,55.27026367,240000,286514.2188,59470.58984,227122.4375,222000,242361.5241,84308.23077,130510.6614,192516.9018,168178.6305,92843.30418,87301.84343,34439.94141,30465.31836,22203.48047,32109.80273,NA,NA,NA,NA,NA,NA,NA,0.201855689,NA,NA,NA,NA,0.281487495,0.262527347,NA,NA,NA,NA,0.636363626,0.434782594,0.563636363,0.395652175
4,16340.06348,6984.196777,6012.451172,9356.751953,0.259433955,0.257861644,0.259433955,0.251572341,0.003847702,-0.043318421,-0.189276233,-0.020612458,0.129011467,0.01,0.427275687,-0.180234626,0.06565547,0.08864902,-0.255337238,0.071027674,-0.077085197,0.176370367,0.321708024,0.060433559,-0.216116607,-0.036696628,0.188154206,0.037708033,-0.222231537,0.082071081,-0.09441942,-0.100957379,-0.211235106,-0.090424463,0.245823637,0.028337263,-0.217208326,-0.026504289,-0.255389571,0.137103021,0.918139517,-0.423304558,0.570955515,0.409048438,0.886055708,-0.305697948,0.753231645,0.182805061,0.90759021,0.113715127,0.38016206,0.254004866,0.420820504,0.288492739,0.372959286,0.250944495,0.447086424,0.272432297,295.3556213,241.4035339,1825.247925,601.8671875,165.124115,290.9327087,687.9050293,158.0055389,158903.4501,110451.79,128117.2387,137792.0039,73994.94859,64597.03299,71360.83013,86128.92617,96894.13281,409175.3125,144891.7813,109319.2422,21571.87574,314333.9223,31251.7946,105286.7936,1159.078613,3417.905029,876.6266479,951.2520142,0.616071463,0.591729701,0.618107259,0.620205045,0.047169812,0.062893085,0.070754714,0.075471699,38.82081223,174.1607666,50.33263016,60.58930206,70837.21094,219003.6719,161908.6563,173123.125,201386.8312,453150.75,112356.8144,153729.3359,239887.7876,187687.1078,137687.5323,106331.1588,43523.57813,24028.86133,25130.50781,40601.60547,NA,NA,NA,NA,NA,NA,NA,0.327651173,NA,NA,NA,NA,0.448924094,0.503834128,NA,NA,NA,NA,0.410377353,0.522012591,0.391509444,0.490566045
5,12828.98047,8262.072266,9950.681641,14482.11816,0.36434108,0.240143374,0.36434108,0.232974917,-0.126752824,-0.083831191,-0.074598312,0.01,0.137586847,-0.131298751,0.277115077,0.022170078,-0.01,0.095088258,0.01,0.185697824,0.029183883,0.121591106,0.193257794,0.20867157,0.142770618,-0.085958265,0.129845068,0.148381963,-0.01,-0.110478885,0.090994507,0.092871651,0.063586742,-0.060218081,0.084762603,0.153303489,0.12368311,-0.076798134,0.192859292,0.128791213,0.617691815,0.233482152,0.463787884,0.426894248,0.353369296,0.324289471,0.146079913,0.589617372,0.294073015,0.439406842,0.383420497,0.242813617,0.360280126,0.226963133,0.396471679,0.259079546,0.371380031,0.231277838,482.528595,508.0075989,1102.967285,573.0148315,1350.056274,747.6727295,835.3930054,527.3479614,206404.8111,200379.228,154158.774,133087.0665,124647.9934,142456.6083,104390.7295,94249.15286,293539.4688,283941.9688,236155.2969,208269.4063,89956.28671,193842.7177,221001.2283,166945.3172,1622.834351,2328.058594,1975.525879,1622.936401,0.610595703,0.622298419,0.597280324,0.628124297,0.073643409,0.089605734,0.116279073,0.111111112,101.8248978,185.5698853,209.1733398,164.6457214,676441.875,451300.5313,408575.0938,282774.25,488051.3023,396223.3182,384923.2905,217085.6324,332367.0227,221178.1003,227139.7462,135373.4029,42056.51563,39321.01563,35641.21094,37841.26172,NA,NA,-0.284591198,NA,-0.019051248,NA,-0.142331079,NA,-0.059281621,0.176158562,0.026877891,0.209840581,0.442077011,0.497114062,NA,NA,NA,NA,0.519379854,0.405017912,0.480620146,0.390680999
6,6500.190918,10147.9834,11745.29395,13081.16211,0.330143541,0.282608688,0.330143541,0.276679844,-0.308899492,0.036704615,-0.171005309,-0.049236841,-0.212100819,0.030203778,0.096899897,-0.058830541,-0.226035401,-0.025420187,-0.054187983,0.01,-0.208547831,0.037621759,0.023622178,0.029634411,0.121633969,0.101995833,-0.013585673,0.151510686,-0.040176157,-0.039685722,-0.070156507,0.078188129,0.182400525,0.162002116,0.157188416,0.31401512,-0.051373187,-0.074349903,0.033842959,0.266189307,-0.021152152,0.164143503,0.171927944,-0.052373365,0.794178784,0.330972046,0.093310043,0.091885939,-0.277305484,0.724408507,0.396266878,0.245673925,0.345401138,0.194287568,0.416101635,0.244997114,0.35664928,0.194605649,2230.207764,1751.619019,1902.713745,2335.886963,1116.05249,630.0407104,867.9002686,1019.412292,221188.5712,242527.9987,271135.3787,269076.2644,116984.124,127312.6543,174583.845,179338.84,345708.2813,288162.6875,209188.75,293051.7813,248956.9662,400156.8702,132227.7274,144479.6744,4055.199219,4057.576172,2306.753418,1798.010132,0.579960465,0.647497177,0.595191956,0.65628022,0.138755977,0.183794469,0.095693782,0.169960469,511.8212585,706.0182495,190.3631592,287.6816101,342438.5,982010.125,375066.4688,789319.5,547669.5938,661273.6968,317929.1989,370102.5146,332561.6879,304397.4313,205300.0803,202024.0988,37791.45313,40112.60547,36083.39063,37187.69141,-0.043727294,0.274026096,-0.033062108,0.073393777,0.111759752,NA,0.01648974,0.061699439,0.012533322,-0.014534727,0.048322387,-0.021106072,0.572784543,0.602880299,NA,NA,NA,NA,0.488038272,0.405138344,0.464114845,0.377470344
7,7822.373047,14816.9082,7284.332031,23292.31445,0.343558282,0.233009711,0.340490788,0.231067955,-0.206767768,-0.053480972,-0.19455409,-0.080300845,-0.021123163,-0.075023927,0.112599604,-0.058336988,-0.040742993,0.041686561,-0.127511784,-0.148039848,0.021899333,0.036320742,-0.01,-0.07273677,0.093490012,-0.023223886,-0.031359885,0.017946927,-0.064728692,0.099533349,0.094587445,0.138759926,0.124751449,0.177813798,0.2756387,0.291270226,0.020216746,0.202086046,0.332069635,0.283232689,0.998751462,-0.186481714,0.402294844,0.168487385,0.4646222,-0.041391864,0.282494813,0.123584718,0.040002339,-0.114755742,0.380134523,0.188563854,0.348844171,0.211517081,0.422793657,0.183706611,0.370189875,0.201181889,8400.084961,5147.395996,12382.23926,3594.038818,6219.09375,7289.90918,4855.58252,3678.469482,423369.7354,296499.7606,255077.9028,357227.4297,174307.2965,199903.2557,180493.0717,231278.5087,149525.3281,274222.5625,355978.4688,325477.3438,110605.6427,221464.4571,128001.5223,438949.061,8795.149414,6808.05957,10961.43262,5440.660645,0.6175493,0.627105713,0.616244674,0.656141639,0.199386507,0.308737874,0.233128831,0.283495158,1666.161743,2046.43042,2451.003662,1496.448853,434898.875,528543.125,892900,714458.9375,571105,429193.506,455928.7759,526627.3616,687328.4844,358400.0972,483390.5438,233318.7141,49628.82422,43161.83594,26346.49805,45199.28125,0.064892061,0.028583098,0.154936746,0.133046329,0.043877542,NA,0.062490236,0.096293621,-0.005355881,0.158596948,0.047806863,0.17645742,0.514703929,0.541176736,NA,NA,NA,NA,0.450920254,0.407766998,0.392638028,0.345631063
8,14156.04395,11006.47656,8346.524414,16842.13867,0.338235289,0.21561338,0.338235289,0.21561338,-0.01,-0.048869446,-0.172238961,0.057939835,-0.211634278,0.085053876,0.051082224,-0.01,0.197105974,0.018590311,-0.117329359,0.050246529,-0.038621884,-0.01,0.0632644,0.067649081,-0.115360908,-0.01,-0.068400592,0.07301084,-0.170260012,0.16272603,-0.013031275,0.154175133,0.087088861,-0.082778402,-0.085652232,0.033128124,-0.038391449,0.056900255,0.004349996,0.211940825,0.448583305,-0.378074348,-0.148437381,0.078946121,0.998444617,0.07737907,0.016246028,0.366091549,0.563814819,-0.240245834,0.310590446,0.175291911,0.305670232,0.231541559,0.425192058,0.184475005,0.347306401,0.22041218,3170.789063,6933.199219,13284.32813,7237.467285,6174.376465,8029.123047,9248.863281,7334.54541,604250.0777,460652.209,462882.1282,401661.3848,257894.6823,431251.0006,325594.0327,267911.1754,201748.1563,150327.3438,302488.9375,308948.8125,96162.73493,445554.0453,259127.1717,226639.0044,8200.948242,10986.13477,12505.71484,9961.814453,0.626457751,0.610994041,0.62697649,0.649281085,0.25,0.349442393,0.323529422,0.334572494,1958.435425,3731.140137,3919.701416,3258.187256,806736.8125,1157313.25,472196.7188,624662.125,895313.2609,1156748.75,540780.3279,357845.1299,668571.8163,474824.2188,455241.2687,331187.0771,36864.11719,39919.92969,41177.01172,34930.375,0.170940861,NA,0.295656204,0.273695648,0.29546842,NA,-0.15567036,0.225201279,0.233298823,0.089720197,0.236458495,0.049710993,0.497081846,0.566975951,NA,NA,NA,NA,0.529411793,0.427509308,0.441176474,0.334572494
9,NA,NA,7425.639648,23349.60156,0.218181819,NA,0.200000003,NA,0.042862415,0.092209503,NA,-0.122624353,-0.12879011,0.144600287,NA,-0.096394733,-0.200146034,0.127447143,NA,-0.597274899,0.095190831,0.01,NA,-0.713295281,0.352342904,0.016790975,NA,0.657389998,0.274836302,0.082607478,NA,0.648488939,0.360981345,-0.010085288,NA,0.979978621,-0.029116275,-0.102732264,NA,0.727242768,NA,NA,-0.680696011,0.973354876,NA,NA,NA,NA,NA,NA,0.36451897,0.214782,NA,0.15661633,0.346822619,0.237013593,NA,0.254732966,3809.875732,7035.098633,NA,7158.374512,10238.63672,12774.96191,NA,12315.58398,669378.7289,539180.2054,NA,370296.3502,416437.836,361410.5094,NA,280120.3448,NA,NA,75650.07031,146815.1719,NA,NA,123529.3663,510582.1498,12335.05371,7735.133301,17767.45703,19083.33398,0.622195899,0.693786144,0.65847528,0.639999986,0.236363634,0.400000006,0.436363637,0.400000006,2741.123047,2578.377686,7567.620605,6361.111328,NA,NA,584125,538732.125,NA,NA,844143.6129,479680.5556,976034.6075,439204.193,740615.4591,287259.239,47480.91797,NA,29230.19141,25983.66992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.418181807,0.300000012,0.290909082,0.300000012
