"","age9","sd_consumption2_14_1","sd_consumption2_14_0","sd_consumption2_10_1","sd_consumption2_10_0","DC_product_14_1","DC_product_14_0","DC_product_10_1","DC_product_10_0","corr_risky_super_142_1","corr_risky_super_141_1","corr_risky_super_142_0","corr_risky_super_141_0","corr_risky_super_102_1","corr_risky_super_101_1","corr_risky_super_102_0","corr_risky_super_101_0","corr_rshare_super_142_1","corr_rshare_super_141_1","corr_rshare_super_142_0","corr_rshare_super_141_0","corr_rshare_super_102_1","corr_rshare_super_101_1","corr_rshare_super_102_0","corr_rshare_super_101_0","corr_volcont_super_142_1","corr_volcont_super_141_1","corr_volcont_super_142_0","corr_volcont_super_141_0","corr_volcont_super_102_1","corr_volcont_super_101_1","corr_volcont_super_102_0","corr_volcont_super_101_0","corr_vcont_super_142_1","corr_vcont_super_141_1","corr_vcont_super_142_0","corr_vcont_super_141_0","corr_vcont_super_102_1","corr_vcont_super_101_1","corr_vcont_super_102_0","corr_vcont_super_101_0","corr_cons_realw_14_1","corr_cons_realw_14_0","corr_cons_realw_10_1","corr_cons_realw_10_0","autocorr_wealth_real_1","autocorr_wealth_real_0","autocorr_wealth_fin_1","autocorr_wealth_fin_0","autocorr_consumption_1","autocorr_consumption_0","sd_risky_share_142_1","sd_risky_share_141_1","sd_risky_share_142_0","sd_risky_share_141_0","sd_risky_share_102_1","sd_risky_share_101_1","sd_risky_share_102_0","sd_risky_share_101_0","sd_vol_cont_12_mths_142_1","sd_vol_cont_12_mths_141_1","sd_vol_cont_12_mths_142_0","sd_vol_cont_12_mths_141_0","sd_vol_cont_12_mths_102_1","sd_vol_cont_12_mths_101_1","sd_vol_cont_12_mths_102_0","sd_vol_cont_12_mths_101_0","sd_super_balance_142_1","sd_super_balance_141_1","sd_super_balance_142_0","sd_super_balance_141_0","sd_super_balance_102_1","sd_super_balance_101_1","sd_super_balance_102_0","sd_super_balance_101_0","sd_wealth_real_14_1","sd_wealth_real_14_0","sd_wealth_real_10_1","sd_wealth_real_10_0","sd_fin_assets_14_1","sd_fin_assets_14_0","sd_fin_assets_10_1","sd_fin_assets_10_0","avc_vol_cont_12_mths_14_1","avc_vol_cont_12_mths_14_0","avc_vol_cont_12_mths_10_1","avc_vol_cont_12_mths_10_0","av_risky_share_14_1","av_risky_share_14_0","av_risky_share_10_1","av_risky_share_10_0","av_vol_cont_14_1","av_vol_cont_14_0","av_vol_cont_10_1","av_vol_cont_10_0","av_vol_cont_12_mths_14_1","av_vol_cont_12_mths_14_0","av_vol_cont_12_mths_10_1","av_vol_cont_12_mths_10_0","av_wealth_real_14_1","av_wealth_real_14_0","av_wealth_real_10_1","av_wealth_real_10_0","av_fin_assets_14_1","av_fin_assets_14_0","av_fin_assets_10_1","av_fin_assets_10_0","av_super_balance_14_1","av_super_balance_14_0","av_super_balance_10_1","av_super_balance_10_0","av_consumption2_14_1","av_consumption2_14_0","av_consumption2_10_1","av_consumption2_10_0","corr_volcont_ndinv_142_1","corr_volcont_ndinv_141_1","corr_volcont_ndinv_142_0","corr_volcont_ndinv_141_0","corr_volcont_ndinv_102_1","corr_volcont_ndinv_101_1","corr_volcont_ndinv_102_0","corr_volcont_ndinv_101_0","corr_DC_volcont_14_1","corr_DC_volcont_14_0","corr_DC_volcont_10_1","corr_DC_volcont_10_0","corr_DC_ndinv_14_0","corr_DC_ndinv_10_0","risky_risky_share_14_1","risky_risky_share_14_0","risky_risky_share_10_1","risky_risky_share_10_0","non_super_inv_balance_100_14_1","non_super_inv_balance_100_14_0","non_super_inv_balance_100_10_1","non_super_inv_balance_100_10_0"
"1",1,NA,NA,NA,4598.8125,NA,NA,NA,NA,NA,NA,NA,-0.003841498401016,NA,NA,NA,0.0529826879501343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.617378711700439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8385.66417090501,41136.3588523232,NA,NA,10944.1957083401,17572.6837831,NA,NA,NA,2738.61279296875,NA,NA,NA,2894.1659938573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69375,NA,NA,NA,32779.6,NA,87332.595,NA,34998.34625,NA,NA,NA,25241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,4929.8671875,4172.85595703125,7378.62939453125,16291.8740234375,0.131578952074051,0.13541667163372,0.131578952074051,0.125,-0.0369079485535622,-0.00865167565643787,0.0752556994557381,0.0117341727018356,0.443909466266632,0.0187042243778706,0.145453959703445,0.0869467183947563,-0.0373728983104229,0.199342638254166,0.224536597728729,0.113210394978523,0.0214113239198923,0.223957240581512,0.187717854976654,0.150221824645996,NA,NA,NA,0.0298721138387918,NA,-0.243123188614845,NA,-0.073451466858387,NA,NA,0.645669043064117,0.0250964742153883,NA,-0.243123188614845,0.558250069618225,0.060049157589674,-0.633461713790894,0.924089729785919,0.560929238796234,-0.00298061757348478,0.609220445156097,0.997017323970795,0.567882657051086,0.517794489860535,-0.541645646095276,0.803793489933014,0.454652696847916,0.339424639940262,0.272788733243942,0.261559009552002,0.432452619075775,0.316451042890549,0.269203782081604,0.269545912742615,NA,NA,NA,245.887008666992,13.188328742981,NA,721.687866210938,227.796417236328,59242.1097827481,60334.0486300283,88465.8525635987,41601.9912757473,37701.3563600551,37480.0928129826,40925.8625474399,25591.0792047635,75542.484375,34786.25390625,57410.4921875,125188.53125,62700.4527544981,234868.734660581,25395.7195577591,86401.9513017916,NA,736.928588867188,29.4899997711182,786.888916015625,0.583345115184784,0.653729438781738,0.615608632564545,0.646121203899384,NA,0.0833333358168602,0.0526315793395042,0.10416666418314,NA,54.2999992370605,0.797026991844177,74.5473709106445,208000,518900,55730.76953125,201743.640625,220919.428571429,324881.875,78373.5277777778,136968.967391304,138866.095789474,119869.151041667,56025.9307894736,50893.3826041667,32504.671875,28970.541015625,30207.43359375,32570.19140625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168852299451828,0.102925308048725,NA,0.829540073871613,0.992334723472595,0.861143350601196,0.526315808296204,0.479166656732559,0.473684221506119,0.447916656732559
"3",3,7332.18994140625,4818.53564453125,4947.13232421875,9402.0205078125,0.218181818723679,0.169565215706825,0.200000002980232,0.165217384696007,-0.0617686957120895,-0.333963841199875,-0.357450991868973,-0.133651852607727,-0.307172417640686,-0.032430998980999,0.0984827131032944,-0.136051461100578,-0.0604324862360954,-0.256244271993637,-0.164596661925316,0.0165480002760887,0.121174275875092,-0.0863746330142021,0.158771857619286,0.0184951145201921,NA,-0.0158656686544418,0.168316096067429,0.106957159936428,-0.00784927979111671,-0.201398566365242,0.0415947362780571,-0.0247056297957897,-0.634622693061829,-0.0894161313772202,0.276919603347778,0.187338694930077,-0.00784927979111671,-0.00873338524252176,0.285220384597778,0.126333087682724,1,-0.417489737272263,0.223172083497047,-0.224499940872192,NA,0.180571869015694,NA,0.843914568424225,NA,0.431719124317169,0.411938011646271,0.319256454706192,0.352619916200638,0.280676633119583,0.419239044189453,0.323508501052856,0.343192964792252,0.278178721666336,536.560546875,205.873077392578,680.636535644531,206.910125732422,158.980911254883,86.6831359863281,204.768341064453,327.203125,88141.5678803357,73923.3702092913,97580.133135736,72480.6002112445,41831.2199816506,49296.3906188173,42412.0813001984,43644.9004672621,NA,44767.1875,13358.671875,123368.7421875,NA,74651.7031749453,20476.8247698678,63791.7936937136,1564.78491210938,1561.52502441406,342.195007324219,738.020568847656,0.543707549571991,0.617972373962402,0.533654391765594,0.625923037528992,0.0545454546809196,0.052173912525177,0.0909090936183929,0.0869565233588219,57.9549980163574,55.2752227783203,25.3477783203125,55.270263671875,240000,286514.21875,59470.58984375,227122.4375,222000,242361.524096386,84308.2307692308,130510.661375661,192516.901818182,168178.630478261,92843.3041818182,87301.8434347826,34439.94140625,30465.318359375,22203.48046875,32109.802734375,NA,NA,NA,NA,NA,NA,NA,0.201855689287186,NA,NA,NA,NA,0.281487494707108,0.262527346611023,0.844991564750671,0.912212431430817,0.911149978637695,0.897316098213196,0.636363625526428,0.434782594442368,0.563636362552643,0.395652174949646
"4",4,16340.0634765625,6984.19677734375,6012.451171875,9356.751953125,0.259433954954147,0.257861644029617,0.259433954954147,0.251572340726852,0.00384770194068551,-0.0433184206485748,-0.189276233315468,-0.0206124577671289,0.12901146709919,0.00202053599059582,0.427275687456131,-0.180234625935555,0.0656554698944092,0.0886490195989609,-0.255337238311768,0.0710276737809181,-0.0770851969718933,0.176370367407799,0.321708023548126,0.0604335591197014,-0.216116607189178,-0.0366966277360916,0.188154205679893,0.0377080328762531,-0.222231537103653,0.0820710808038712,-0.0944194197654724,-0.100957378745079,-0.211235105991364,-0.0904244631528854,0.245823636651039,0.028337262570858,-0.217208325862885,-0.0265042893588543,-0.25538957118988,0.137103021144867,0.918139517307281,-0.423304557800293,0.570955514907837,0.409048438072205,0.886055707931519,-0.305697947740555,0.753231644630432,0.182805061340332,0.907590210437775,0.113715127110481,0.380162060260773,0.254004865884781,0.420820504426956,0.288492739200592,0.372959285974503,0.250944495201111,0.447086423635483,0.272432297468185,295.355621337891,241.403533935547,1825.24792480469,601.8671875,165.124114990234,290.932708740234,687.905029296875,158.00553894043,158903.450093179,110451.789963489,128117.238702973,137792.003946526,73994.9485902239,64597.0329876877,71360.8301261014,86128.9261710123,96894.1328125,409175.3125,144891.78125,109319.2421875,21571.8757373202,314333.922343077,31251.7946049113,105286.793627682,1159.07861328125,3417.90502929688,876.626647949219,951.252014160156,0.616071462631226,0.591729700565338,0.618107259273529,0.620205044746399,0.0471698120236397,0.0628930851817131,0.0707547143101692,0.0754716992378235,38.8208122253418,174.160766601562,50.3326301574707,60.5893020629883,70837.2109375,219003.671875,161908.65625,173123.125,201386.831168831,453150.75,112356.81443299,153729.3359375,239887.787641509,187687.107798742,137687.532264151,106331.158805031,43523.578125,24028.861328125,25130.5078125,40601.60546875,NA,NA,NA,NA,NA,NA,NA,0.327651172876358,NA,NA,NA,NA,0.448924094438553,0.503834128379822,0.87208503484726,0.914468705654144,0.883009314537048,0.909627556800842,0.410377353429794,0.522012591362,0.3915094435215,0.490566045045853
"5",5,12828.98046875,8262.072265625,9950.681640625,14482.1181640625,0.364341080188751,0.240143373608589,0.364341080188751,0.232974916696548,-0.126752823591232,-0.0838311910629272,-0.0745983123779297,0.00847139023244381,0.13758684694767,-0.131298750638962,0.277115076780319,0.022170078009367,-0.00448668282479048,0.0950882583856583,0.00906574726104736,0.185697823762894,0.0291838832199574,0.121591106057167,0.193257793784142,0.208671569824219,0.142770618200302,-0.0859582647681236,0.129845067858696,0.148381963372231,-0.00175517494790256,-0.110478885471821,0.0909945070743561,0.0928716510534286,0.0635867416858673,-0.0602180808782578,0.0847626030445099,0.153303489089012,0.123683109879494,-0.0767981335520744,0.192859292030334,0.128791213035583,0.617691814899445,0.233482152223587,0.463787883520126,0.426894247531891,0.353369295597076,0.324289470911026,0.146079912781715,0.589617371559143,0.294073015451431,0.439406841993332,0.383420497179031,0.242813616991043,0.360280126333237,0.226963132619858,0.396471679210663,0.259079545736313,0.371380031108856,0.231277838349342,482.528594970703,508.007598876953,1102.96728515625,573.014831542969,1350.05627441406,747.672729492188,835.393005371094,527.347961425781,206404.811084673,200379.228013849,154158.77404864,133087.066529833,124647.993353654,142456.608273531,104390.729485112,94249.1528568584,293539.46875,283941.96875,236155.296875,208269.40625,89956.2867078425,193842.717701959,221001.228301655,166945.317185266,1622.83435058594,2328.05859375,1975.52587890625,1622.93640136719,0.610595703125,0.622298419475555,0.597280323505402,0.628124296665192,0.0736434087157249,0.0896057337522507,0.116279073059559,0.111111111938953,101.824897766113,185.569885253906,209.17333984375,164.645721435547,676441.875,451300.53125,408575.09375,282774.25,488051.302325581,396223.318181818,384923.290456432,217085.632352941,332367.022713178,221178.100250896,227139.746201551,135373.402867383,42056.515625,39321.015625,35641.2109375,37841.26171875,NA,NA,-0.284591197967529,NA,-0.0190512482076883,NA,-0.142331078648567,NA,-0.0592816211283207,0.176158562302589,0.0268778912723064,0.209840580821037,0.44207701086998,0.497114062309265,0.916338741779327,0.877954661846161,0.935652136802673,0.89622575044632,0.519379854202271,0.405017912387848,0.480620145797729,0.390680998563766
"6",6,6500.19091796875,10147.9833984375,11745.2939453125,13081.162109375,0.330143541097641,0.282608687877655,0.330143541097641,0.276679843664169,-0.308899492025375,0.0367046147584915,-0.171005308628082,-0.0492368414998055,-0.212100818753242,0.0302037782967091,0.0968998968601227,-0.0588305406272411,-0.22603540122509,-0.0254201870411634,-0.0541879832744598,0.00453709345310926,-0.208547830581665,0.037621758878231,0.023622177541256,0.0296344105154276,0.121633969247341,0.101995833218098,-0.0135856727138162,0.151510685682297,-0.0401761569082737,-0.0396857224404812,-0.0701565071940422,0.0781881287693977,0.182400524616241,0.162002116441727,0.157188415527344,0.314015120267868,-0.0513731874525547,-0.0743499025702477,0.033842958509922,0.266189306974411,-0.021152151748538,0.16414350271225,0.171927943825722,-0.0523733645677567,0.794178783893585,0.330972045660019,0.0933100432157516,0.0918859392404556,-0.277305483818054,0.724408507347107,0.396266877651215,0.245673924684525,0.345401138067245,0.194287568330765,0.416101634502411,0.2449971139431,0.356649279594421,0.194605648517609,2230.20776367188,1751.61901855469,1902.71374511719,2335.88696289062,1116.05249023438,630.040710449219,867.900268554688,1019.41229248047,221188.571170448,242527.998694863,271135.378685529,269076.26436396,116984.123998411,127312.654261446,174583.844993522,179338.839955143,345708.28125,288162.6875,209188.75,293051.78125,248956.966247514,400156.870234286,132227.727433285,144479.674449586,4055.19921875,4057.576171875,2306.75341796875,1798.01013183594,0.579960465431213,0.647497177124023,0.595191955566406,0.656280219554901,0.138755977153778,0.183794468641281,0.0956937819719315,0.169960469007492,511.821258544922,706.018249511719,190.363159179688,287.681610107422,342438.5,982010.125,375066.46875,789319.5,547669.59375,661273.696808511,317929.198924731,370102.514613779,332561.687942584,304397.431284585,205300.080287081,202024.098814229,37791.453125,40112.60546875,36083.390625,37187.69140625,-0.0437272936105728,0.274026095867157,-0.033062107861042,0.073393777012825,0.111759752035141,NA,0.0164897404611111,0.0616994388401508,0.0125333219766617,-0.0145347267389297,0.0483223870396614,-0.0211060717701912,0.572784543037415,0.602880299091339,0.887835502624512,0.890325963497162,0.901978313922882,0.912945985794067,0.488038271665573,0.405138343572617,0.464114844799042,0.377470344305038
"7",7,7822.373046875,14816.908203125,7284.33203125,23292.314453125,0.34355828166008,0.233009710907936,0.340490788221359,0.231067955493927,-0.20676776766777,-0.0534809716045856,-0.194554090499878,-0.0803008452057838,-0.0211231634020805,-0.075023926794529,0.112599603831768,-0.0583369880914688,-0.0407429933547974,0.0416865609586239,-0.127511784434319,-0.148039847612381,0.0218993332237005,0.0363207422196865,-0.0080757224932313,-0.0727367699146271,0.0934900119900703,-0.0232238862663507,-0.0313598848879337,0.0179469268769026,-0.0647286921739578,0.099533349275589,0.0945874452590942,0.138759925961494,0.124751448631287,0.177813798189163,0.275638699531555,0.291270226240158,0.0202167462557554,0.202086046338081,0.332069635391235,0.283232688903809,0.99875146150589,-0.186481714248657,0.402294844388962,0.168487384915352,0.46462219953537,-0.0413918644189835,0.282494813203812,0.123584717512131,0.0400023385882378,-0.114755742251873,0.380134522914886,0.188563853502274,0.348844170570374,0.211517080664635,0.422793656587601,0.183706611394882,0.370189875364304,0.201181888580322,8400.0849609375,5147.39599609375,12382.2392578125,3594.03881835938,6219.09375,7289.9091796875,4855.58251953125,3678.46948242188,423369.735412367,296499.760597858,255077.902817513,357227.429736616,174307.296452111,199903.255668073,180493.071722614,231278.508720237,149525.328125,274222.5625,355978.46875,325477.34375,110605.6427132,221464.457053077,128001.522295066,438949.061002586,8795.1494140625,6808.0595703125,10961.4326171875,5440.66064453125,0.617549300193787,0.627105712890625,0.616244673728943,0.656141638755798,0.19938650727272,0.308737874031067,0.23312883079052,0.283495157957077,1666.16174316406,2046.43041992188,2451.00366210938,1496.44885253906,434898.875,528543.125,892900,714458.9375,571105,429193.506024096,455928.775862069,526627.361570248,687328.484386503,358400.097242718,483390.543803681,233318.714058252,49628.82421875,43161.8359375,26346.498046875,45199.28125,0.0648920610547066,0.0285830982029438,0.154936745762825,0.133046329021454,0.0438775420188904,NA,0.0624902360141277,0.0962936207652092,-0.00535588106140494,0.158596947789192,0.0478068627417088,0.176457419991493,0.514703929424286,0.541176736354828,0.905823647975922,0.884643495082855,0.932073414325714,0.899628877639771,0.450920253992081,0.407766997814178,0.392638027667999,0.345631062984467
"8",8,14156.0439453125,11006.4765625,8346.5244140625,16842.138671875,0.338235288858414,0.215613380074501,0.338235288858414,0.215613380074501,-0.00828916020691395,-0.0488694459199905,-0.17223896086216,0.0579398348927498,-0.211634278297424,0.085053876042366,0.0510822236537933,-0.00435490859672427,0.197105973958969,0.018590310588479,-0.117329359054565,0.0502465292811394,-0.0386218838393688,-0.00552957551553845,0.063264399766922,0.0676490813493729,-0.115360908210278,-0.00965978018939495,-0.0684005916118622,0.0730108395218849,-0.170260012149811,0.162726029753685,-0.0130312750115991,0.154175132513046,0.0870888605713844,-0.0827784016728401,-0.085652232170105,0.0331281237304211,-0.0383914485573769,0.056900255382061,0.00434999587014318,0.211940824985504,0.44858330488205,-0.37807434797287,-0.14843738079071,0.0789461210370064,0.998444616794586,0.0773790702223778,0.0162460282444954,0.366091549396515,0.5638148188591,-0.240245833992958,0.310590445995331,0.175291910767555,0.305670231580734,0.231541559100151,0.425192058086395,0.184475004673004,0.347306400537491,0.22041217982769,3170.7890625,6933.19921875,13284.328125,7237.46728515625,6174.37646484375,8029.123046875,9248.86328125,7334.54541015625,604250.077699036,460652.20904618,462882.128205329,401661.384821118,257894.682296651,431251.000626445,325594.032671435,267911.175382746,201748.15625,150327.34375,302488.9375,308948.8125,96162.7349341717,445554.045324786,259127.171671345,226639.004372974,8200.9482421875,10986.134765625,12505.71484375,9961.814453125,0.626457750797272,0.610994040966034,0.626976490020752,0.649281084537506,0.25,0.349442392587662,0.323529422283173,0.334572494029999,1958.43542480469,3731.14013671875,3919.70141601562,3258.18725585938,806736.8125,1157313.25,472196.71875,624662.125,895313.260869565,1156748.75,540780.327868852,357845.12992126,668571.816308824,474824.218847584,455241.268676471,331187.077063197,36864.1171875,39919.9296875,41177.01171875,34930.375,0.170940861105919,NA,0.295656204223633,0.273695647716522,0.295468419790268,NA,-0.155670359730721,0.225201278924942,0.233298823237419,0.0897201970219612,0.236458495259285,0.0497109927237034,0.497081845998764,0.566975951194763,0.838050544261932,0.901216208934784,0.858439028263092,0.924547076225281,0.529411792755127,0.427509307861328,0.441176474094391,0.334572494029999
"9",9,NA,NA,7425.6396484375,23349.6015625,0.218181818723679,NA,0.200000002980232,NA,0.0428624153137207,0.0922095030546188,NA,-0.122624352574348,-0.128790110349655,0.144600287079811,NA,-0.0963947325944901,-0.200146034359932,0.12744714319706,NA,-0.597274899482727,0.0951908305287361,0.0079790186136961,NA,-0.71329528093338,0.352342903614044,0.0167909748852253,NA,0.657389998435974,0.274836301803589,0.0826074779033661,NA,0.648488938808441,0.360981345176697,-0.0100852875038981,NA,0.979978621006012,-0.0291162747889757,-0.102732263505459,NA,0.727242767810822,NA,NA,-0.6806960105896,0.973354876041412,NA,NA,NA,NA,NA,NA,0.364518970251083,0.214781999588013,NA,0.15661633014679,0.346822619438171,0.237013593316078,NA,0.254732966423035,3809.87573242188,7035.0986328125,NA,7158.37451171875,10238.63671875,12774.9619140625,NA,12315.583984375,669378.728866301,539180.205419883,NA,370296.350200199,416437.836036391,361410.509378591,NA,280120.34483857,NA,NA,75650.0703125,146815.171875,NA,NA,123529.366254797,510582.149789853,12335.0537109375,7735.13330078125,17767.45703125,19083.333984375,0.622195899486542,0.693786144256592,0.658475279808044,0.639999985694885,0.236363634467125,0.400000005960464,0.436363637447357,0.400000005960464,2741.123046875,2578.37768554688,7567.62060546875,6361.111328125,NA,NA,584125,538732.125,NA,NA,844143.612903226,479680.555555556,976034.607454546,439204.193,740615.459090909,287259.239,47480.91796875,NA,29230.19140625,25983.669921875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.887226223945618,NA,0.924612283706665,NA,0.41818180680275,0.300000011920929,0.290909081697464,0.300000011920929
